from	to	Strength
Actinobacteria unclassified_class_1760	Unclassified Gammaproteobacteria unclassified	-5.93E+14
Actinobacteria unclassified_class_1760	Bacillaceae	-5.76E+14
Actinobacteria unclassified_class_1760	Francisellaceae	-5.75E+14
Actinobacteria unclassified_class_1760	Leotiomyceta unclassified	-5.34E+14
Actinobacteria unclassified_class_1760	Nitriliruptoraceae	-4.81E+14
Actinobacteria unclassified_class_1760	Ardenticatenaceae	-4.68E+14
Actinobacteria unclassified_class_1760	Verrucomicrobiales unclassified	-4.61E+14
Actinobacteria unclassified_class_1760	Microchaetaceae	-4.51E+14
Actinobacteria unclassified_class_1760	Competibacteraceae	-4.49E+14
Actinobacteria unclassified_class_1760	Roseiflexaceae	-4.44E+14
Actinobacteria unclassified_class_1760	Kordiimonadaceae	-4.08E+14
Actinobacteria unclassified_class_1760	Methylothermaceae	-3.93E+14
Actinobacteria unclassified_class_1760	Saprospiraceae	-3.68E+14
Actinobacteria unclassified_class_1760	Oscillochloridaceae	-3.56E+14
Actinobacteria unclassified_class_1760	Symbiobacteriaceae	-3.36E+14
Actinobacteria unclassified_class_1760	Listeriaceae	-3.32E+14
Actinobacteria unclassified_class_1760	Bacteroidetes/Chlorobi group unclassified	-3.15E+14
Actinobacteria unclassified_class_1760	Peptoniphilaceae	-2.94E+14
Actinobacteria unclassified_class_1760	Dikarya unclassified	-2.94E+14
Actinobacteria unclassified_class_1760	Acidimicrobiaceae	-2.93E+14
Actinobacteria unclassified_class_1760	Sphaerobacteraceae	-2.88E+14
Actinobacteria unclassified_class_1760	Solirubrobacterales unclassified	-2.77E+14
Actinobacteria unclassified_class_1760	Marinimicrobia unclassified	-2.67E+14
Actinobacteria unclassified_class_1760	Oceanospirillales unclassified	-2.48E+14
Actinobacteria unclassified_class_1760	Trueperaceae	-3.27E+13
Actinobacteria unclassified_class_1760	Salinisphaeraceae	-3.05E+13
Actinobacteria unclassified_class_1760	Conexibacteraceae	-2.63E+13
Actinobacteria unclassified_class_1760	Aspergillaceae	-0.000115994641380573
Actinobacteria unclassified_class_1760	Thermoplasmatales unclassified	2.79E+13
Actinobacteria unclassified_class_1760	Euryarchaeota unclassified	2.59E+14
Actinobacteria unclassified_class_1760	Desulfohalobiaceae	2.92E+14
Actinobacteria unclassified_class_1760	Syntrophaceae	3.42E+14
Actinobacteria unclassified_class_1760	Hypocreaceae	4.50E+14
Actinobacteria unclassified_class_1760	Marinilabiliaceae	5.65E+14
Alphaproteobacteria unclassified	Aspergillaceae	-6.50E+14
Alphaproteobacteria unclassified	Unclassified Gammaproteobacteria unclassified	-4.66E+14
Alphaproteobacteria unclassified	Patulibacteraceae	-4.29E+14
Alphaproteobacteria unclassified	Microthrixaceae	-3.91E+14
Alphaproteobacteria unclassified	Unclassified Verrucomicrobia unclassified	-3.66E+14
Alphaproteobacteria unclassified	Leotiomyceta unclassified	-3.53E+14
Alphaproteobacteria unclassified	Salinisphaeraceae	-3.51E+14
Alphaproteobacteria unclassified	Microchaetaceae	-3.34E+14
Alphaproteobacteria unclassified	Acidimicrobiaceae	-3.28E+14
Alphaproteobacteria unclassified	Competibacteraceae	-3.01E+14
Alphaproteobacteria unclassified	Neisseriales unclassified	-2.96E+14
Alphaproteobacteria unclassified	Francisellaceae	-2.94E+14
Alphaproteobacteria unclassified	Saprospiraceae	-2.91E+14
Alphaproteobacteria unclassified	Bacillaceae	-2.81E+14
Alphaproteobacteria unclassified	Candidatus Kaiserbacteria unclassified	-2.73E+14
Alphaproteobacteria unclassified	Nitriliruptoraceae	-2.63E+14
Alphaproteobacteria unclassified	Sphaerobacteraceae	-2.49E+14
Alphaproteobacteria unclassified	Symbiobacteriaceae	-3.20E+13
Alphaproteobacteria unclassified	Oscillochloridaceae	-2.69E+13
Alphaproteobacteria unclassified	Anaerolineae unclassified	3.05E+12
Alphaproteobacteria unclassified	Marinilabiliaceae	7.57E+13
Alphaproteobacteria unclassified	Desulfobacteraceae	2.47E+14
Alphaproteobacteria unclassified	Euryarchaeota unclassified	2.56E+14
Alphaproteobacteria unclassified	Halothiobacillaceae	2.64E+14
Alphaproteobacteria unclassified	Pasteurellaceae	2.68E+14
Alphaproteobacteria unclassified	Spirochaetaceae	2.87E+14
Alphaproteobacteria unclassified	Chlorobiaceae	3.09E+14
Alphaproteobacteria unclassified	Synergistaceae	3.47E+14
Alphaproteobacteria unclassified	Desulfohalobiaceae	3.70E+14
Alphaproteobacteria unclassified	Syntrophaceae	3.92E+14
Aspergillaceae	Saprospiraceae	-9.88E+14
Aspergillaceae	Oscillochloridaceae	-9.61E+14
Aspergillaceae	Listeriaceae	-9.03E+14
Aspergillaceae	Symbiobacteriaceae	-8.94E+14
Aspergillaceae	Trueperaceae	-8.84E+14
Aspergillaceae	Bacteroidetes/Chlorobi group unclassified	-8.51E+14
Aspergillaceae	Peptoniphilaceae	-8.03E+14
Aspergillaceae	Salinisphaeraceae	-7.98E+14
Aspergillaceae	Sphaerobacteraceae	-7.71E+14
Aspergillaceae	Acidimicrobiaceae	-7.68E+14
Aspergillaceae	Solirubrobacterales unclassified	-7.48E+14
Aspergillaceae	Marinimicrobia unclassified	-7.23E+14
Aspergillaceae	Conexibacteraceae	-7.18E+14
Aspergillaceae	Verrucomicrobia subdivision 3	-6.64E+14
Aspergillaceae	Candidatus Beckwithbacteria unclassified	-6.63E+14
Aspergillaceae	Oceanospirillales unclassified	-6.63E+14
Aspergillaceae	Promicromonosporaceae	-6.57E+14
Aspergillaceae	Bifidobacteriaceae	-6.51E+14
Aspergillaceae	Gallionellaceae	-6.35E+14
