id	Group	Domain	Phylum	Class 
Candidatus Bathyarchaeota unclassified	1	Archaea	Candidatus Bathyarchaeota	Candidatus Bathyarchaeota unclassified
Candidatus Diapherotrites unclassified	1	Archaea	Candidatus Diapherotrites	Candidatus Diapherotrites unclassified
Crenarchaeota unclassified	1	Archaea	Crenarchaeota	Crenarchaeota unclassified
Euryarchaeota unclassified	1	Archaea	Euryarchaeota	Euryarchaeota unclassified
Archaea unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 
Nanoarchaeota unclassified	1	Archaea	Nanoarchaeota	Archaea_unclassified 
TACK group unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 
Thaumarchaeota unclassified	1	Archaea	Thaumarchaeota	Archaea_unclassified 
Unclassified Archaea unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 
Archaeoglobaceae	1	Archaea	Euryarchaeota	Archaeoglobi
Halobacteriaceae	1	Archaea	Euryarchaeota	Halobacteria
Halobacteriales unclassified	1	Archaea	Euryarchaeota	Halobacteria
Halobacteria unclassified	1	Archaea	Euryarchaeota	Halobacteria
Haloferacaceae	1	Archaea	Euryarchaeota	Halobacteria
Natrialbaceae	1	Archaea	Euryarchaeota	Halobacteria
Methanobacteriaceae	1	Archaea	Euryarchaeota	Methanobacteria
Methanocaldococcaceae	1	Archaea	Euryarchaeota	Methanococci
Methanococcaceae	1	Archaea	Euryarchaeota	Methanococci
Methanococcales unclassified	1	Archaea	Euryarchaeota	Methanococci
Methanocellaceae	1	Archaea	Euryarchaeota	Methanomicrobia
Methanocorpusculaceae	1	Archaea	Euryarchaeota	Methanomicrobia
Methanomicrobiaceae	1	Archaea	Euryarchaeota	Methanomicrobia
Methanomicrobiales unclassified	1	Archaea	Euryarchaeota	Methanomicrobia
Methanomicrobia unclassified	1	Archaea	Euryarchaeota	Methanomicrobia
Methanoregulaceae	1	Archaea	Euryarchaeota	Methanomicrobia
Methanosarcinaceae	1	Archaea	Euryarchaeota	Methanomicrobia
Methanosarcinales unclassified	1	Archaea	Euryarchaeota	Methanomicrobia
Nitrososphaeraceae	1	Archaea	Thaumarchaeota	Nitrososphaeria
Nitrosopumilaceae	1	Archaea	Thaumarchaeota	Thaumarchaeota
Thermococcaceae	1	Archaea	Euryarchaeota	Thermococci
Ferroplasmaceae	1	Archaea	Euryarchaeota	Thermoplasmata
Methanomassiliicoccaceae	1	Archaea	Euryarchaeota	Thermoplasmata
Thermoplasmatales unclassified	1	Archaea	Euryarchaeota	Thermoplasmata
Thermoplasmata unclassified	1	Archaea	Euryarchaeota	Thermoplasmata
Desulfurococcaceae	1	Archaea	Crenarchaeota	Thermoprotei
Pyrodictiaceae	1	Archaea	Crenarchaeota	Thermoprotei
Sulfolobaceae	1	Archaea	Crenarchaeota	Thermoprotei
Thermoproteaceae	1	Archaea	Crenarchaeota	Thermoprotei
Thermoprotei unclassified	1	Archaea	Crenarchaeota	Thermoprotei
Parcubacteria group unclassified	2	Bacteria	Parcubacteria group unclassified	Parcubacteria group unclassified
Acidimicrobiaceae	2	Bacteria	Actinobacteria	Acidimicrobiia
Acidimicrobiales unclassified	2	Bacteria	Actinobacteria	Acidimicrobiia
